"card","pools","type","rarity","cost","target","keywords","coverage","confidence","needed_editor_effects","blockers_or_review_points","source_primitives","applied_powers","dynamic_vars","override_methods","note","source_file"
"Aggression","Ironclad","Power","Rare","1","Self","Innate","Exact","High","ApplyPower; ApplyPower:AggressionPower","supported primitives only","ApplyPower","AggressionPower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Aggression.cs"
"Anger","Ironclad","Attack","Common","0","AnyEnemy","","Exact","High","DealDamage; AddSpecificCardToHand","supported primitives only","DealDamage;AddSpecificCardToHand","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Anger.cs"
"Armaments","Ironclad","Skill","Common","1","Self","","Exact","High","GainBlock; UpgradeCardsInPile","supported selector/pile operation","GainBlock;UpgradeCardsInPile","","BlockVar","OnPlay","Direct mapping to existing editor selector and pile operation effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Armaments.cs"
"AshenStrike","Ironclad","Attack","Uncommon","1","AnyEnemy","Exhaust","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\AshenStrike.cs"
"Barricade","Ironclad","Power","Rare","3","Self","","Exact","High","ApplyPower; ApplyPower:BarricadePower","supported primitives only","ApplyPower","BarricadePower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Barricade.cs"
"Bash","Ironclad","Attack","Basic","2","AnyEnemy","","Exact","High","DealDamage; ApplyVulnerable","supported primitives only","DealDamage;ApplyVulnerable","VulnerablePower","DamageVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Bash.cs"
"BattleTrance","Ironclad","Skill","Uncommon","0","Self","","Exact","High","DrawCards; ApplyPower; ApplyPower:NoDrawPower","supported primitives only","DrawCards;ApplyPower","NoDrawPower","CardsVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BattleTrance.cs"
"BloodWall","Ironclad","Skill","Common","2","Self","","Exact","High","GainBlock; LoseHp","supported primitives only","GainBlock;LoseHp","","BlockVar;DynamicVar;HpLossVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BloodWall.cs"
"Bloodletting","Ironclad","Skill","Common","0","Self","","Exact","High","GainEnergy; LoseHp","supported primitives only","GainEnergy;LoseHp","","DynamicVar;EnergyVar;HpLossVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Bloodletting.cs"
"Bludgeon","Ironclad","Attack","Uncommon","3","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Bludgeon.cs"
"BodySlam","Ironclad","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BodySlam.cs"
"Brand","Ironclad","Skill","Rare","0","Self","Exhaust","Exact","High","LoseHp; ExhaustCards; GainStrength","supported selector/pile operation","LoseHp;ExhaustCards;GainStrength","StrengthPower","DynamicVar;HpLossVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing editor selector and pile operation effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Brand.cs"
"Break","Ironclad","Attack","Ancient","1","AnyEnemy","","Exact","High","DealDamage; ApplyVulnerable","supported primitives only","DealDamage;ApplyVulnerable","VulnerablePower","DamageVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Break.cs"
"Breakthrough","Ironclad","Attack","Common","1","AllEnemies","","Exact","High","DealDamage; LoseHp","supported primitives only","DealDamage;LoseHp","","DamageVar;DynamicVar;HpLossVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Breakthrough.cs"
